state,year,poverty_absolute,poverty_hardcore,poverty_relative
W.P. Labuan,2004,0.10671936758893281,0.028985507246376812,0.5644171779141105
W.P. Labuan,2007,0.16600790513833993,0.014492753623188406,0.638036809815951
W.P. Labuan,2009,0.16996047430830039,0.10144927536231883,0.7975460122699387
W.P. Labuan,2012,0.04347826086956522,0.0,0.7791411042944787
W.P. Labuan,2014,0.04347826086956522,0.014492753623188406,0.5644171779141105
W.P. Labuan,2016,0.0,0.0,0.4110429447852761
W.P. Labuan,2019,0.1225296442687747,0.0,0.49079754601227005
W.P. Labuan,2020,0.20553359683794467,0.014492753623188406,0.42331288343558293
W.P. Labuan,2022,0.09881422924901186,0.0,0.12883435582822086
W.P. Putrajaya,2007,0.0,0.0,0.717791411042945
W.P. Putrajaya,2009,0.0,0.0,0.3803680981595092
W.P. Putrajaya,2012,0.0,0.0,0.0
W.P. Putrajaya,2014,0.0,0.0,0.18404907975460125
W.P. Putrajaya,2016,0.0,0.0,0.1165644171779141
W.P. Putrajaya,2019,0.015810276679841896,0.0,0.441717791411043
W.P. Putrajaya,2020,0.007905138339920948,0.0,0.38650306748466257
W.P. Putrajaya,2022,0.003952569169960474,0.0,0.3987730061349694
